id,atom:entry,atom:entry/atom:id,atom:entry/atom:link,atom:entry/atom:published,atom:entry/atom:updated,atom:entry/atom:source/atom:generator,atom:entry/atom:title,atom:entry/atom:author/atom:name,atom:entry/atom:category,atom:entry/oreatom:triples/rdf:Description,atom:entry/oreatom:triples/rdf:Description/rdf:type,atom:entry/oreatom:triples/rdf:Description/dcterms:modified,atom:entry/oreatom:triples/rdf:Description/dcterms:description,date
oai:secundus.datadryad.org:10255/dryad.192,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.192+00:00
oai:secundus.datadryad.org:10255/dryad.193,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.196+00:00
oai:secundus.datadryad.org:10255/dryad.194,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.201+00:00
oai:secundus.datadryad.org:10255/dryad.195,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.206+00:00
oai:secundus.datadryad.org:10255/dryad.196,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.210+00:00
oai:secundus.datadryad.org:10255/dryad.197,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.215+00:00
oai:secundus.datadryad.org:10255/dryad.198,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.219+00:00
oai:secundus.datadryad.org:10255/dryad.199,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.223+00:00
oai:secundus.datadryad.org:10255/dryad.200,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.227+00:00
oai:secundus.datadryad.org:10255/dryad.201,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.232+00:00
oai:secundus.datadryad.org:10255/dryad.202,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.236+00:00
oai:secundus.datadryad.org:10255/dryad.203,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.241+00:00
oai:secundus.datadryad.org:10255/dryad.204,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.246+00:00
oai:secundus.datadryad.org:10255/dryad.205,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.251+00:00
oai:secundus.datadryad.org:10255/dryad.206,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.255+00:00
oai:secundus.datadryad.org:10255/dryad.207,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.260+00:00
oai:secundus.datadryad.org:10255/dryad.208,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.263+00:00
oai:secundus.datadryad.org:10255/dryad.209,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.267+00:00
